"","sum.taxonomy","nASVs_per_species"
"1",NA,364
"53","Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni",1
"54","Eukaryota;Chordata;Actinopteri;;Pomacentridae;Azurina;Azurina hirundo",1
"55","Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;",1
"56","Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis alta",1
"57","Eukaryota;Chordata;Actinopteri;Anguilliformes;;;",1
"58","Eukaryota;Chordata;Actinopteri;Anguilliformes;Nettastomatidae;Facciolella;Facciolella gilbertii",1
"59","Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Leuresthes;Leuresthes tenuis",1
"60","Eukaryota;Chordata;Actinopteri;Beloniformes;Belonidae;Cololabis;Cololabis saira",1
"61","Eukaryota;Chordata;Actinopteri;Beloniformes;Exocoetidae;Cheilopogon;Cheilopogon pinnatibarbatus",1
"62","Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Rimicola;Rimicola muscarum",1
"63","Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Decapterus;Decapterus muroadsi",1
"64","Eukaryota;Chordata;Actinopteri;Centrarchiformes;Oplegnathidae;Oplegnathus;Oplegnathus fasciatus",1
"65","Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Spratelloides;Spratelloides delicatulus",1
"66","Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Rhinogobiops;Rhinogobiops nicholsii",1
"67","Eukaryota;Chordata;Actinopteri;Istiophoriformes;Xiphiidae;Xiphias;Xiphias gladius",1
"68","Eukaryota;Chordata;Actinopteri;Kurtiformes;Apogonidae;Apogon;Apogon guadalupensis",1
"69","Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;",1
"70","Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Scarus;Scarus niger",1
"71","Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Anisotremus;Anisotremus davidsonii",1
"72","Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Brachygenys;Xenistius californiensis",1
"73","Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Microlepidotus;Microlepidotus inornatus",1
"74","Eukaryota;Chordata;Actinopteri;NA;Malacanthidae;Caulolatilus;Caulolatilus princeps",1
"75","Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;Umbrina;Umbrina roncador",1
"76","Eukaryota;Chordata;Actinopteri;NA;Sphyraenidae;Sphyraena;Sphyraena argentea",1
"77","Eukaryota;Chordata;Actinopteri;Ophidiiformes;Bythitidae;Cataetyx;Cataetyx rubrirostris",1
"78","Eukaryota;Chordata;Actinopteri;Perciformes;Agonidae;;",1
"79","Eukaryota;Chordata;Actinopteri;Perciformes;Anoplopomatidae;Anoplopoma;Anoplopoma fimbria",1
"80","Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Ruscarius;Ruscarius creaseri",1
"81","Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Mycteroperca;Mycteroperca jordani",1
"82","Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Mycteroperca;Mycteroperca xenarcha",1
"83","Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax nebulifer",1
"84","Eukaryota;Chordata;Actinopteri;Perciformes;Stichaeidae;Chirolophis;Chirolophis decoratus",1
"85","Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Cynoglossidae;Symphurus;Symphurus atricaudus",1
"86","Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys sordidus",1
"87","Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Paralichthys;Paralichthys californicus",1
"88","Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Scomber;Scomber japonicus",1
"89","Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnus;Thunnus alalunga",1
"90","Eukaryota;Chordata;Actinopteri;Spariformes;Nemipteridae;Pentapodus;Pentapodus bifasciatus",1
"91","Eukaryota;Chordata;Actinopteri;Syngnathiformes;Centriscidae;Macroramphosus;",1
"92","Eukaryota;Chordata;Actinopteri;Syngnathiformes;Mullidae;Pseudupeneus;Pseudupeneus grandisquamis",1
"93","Eukaryota;Chordata;Actinopteri;Syngnathiformes;Syngnathidae;Syngnathus;Syngnathus leptorhynchus",1
"94","Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Molidae;Mola;Mola mola",1
"95","Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Canthigaster;Canthigaster solandri",1
"96","Eukaryota;Chordata;Aves;Charadriiformes;Laridae;Larus;",1
"97","Eukaryota;Chordata;Aves;Charadriiformes;Laridae;Larus;Larus occidentalis",1
"98","Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Gallus;Gallus gallus",1
"99","Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Scyliorhinidae;Cephaloscyllium;Cephaloscyllium ventriosum",1
"100","Eukaryota;Chordata;Chondrichthyes;Heterodontiformes;Heterodontidae;Heterodontus;Heterodontus francisci",1
"101","Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Dasyatidae;Pteroplatytrygon;Pteroplatytrygon violacea",1
"102","Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Urolophidae;Urolophus;Urolophus halleri",1
"103","Eukaryota;Chordata;Chondrichthyes;Orectolobiformes;Rhincodontidae;Rhincodon;Rhincodon typus",1
"104","Eukaryota;Chordata;Chondrichthyes;Pristiformes/Rhiniformes group;Rhinobatidae;Pseudobatos;Pseudobatos productus",1
"105","Eukaryota;Chordata;Mammalia;Artiodactyla;Bovidae;Bos;Bos taurus",1
"106","Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Grampus;Grampus griseus",1
"107","Eukaryota;Chordata;Mammalia;Artiodactyla;Suidae;Sus;Sus scrofa",1
"108","Eukaryota;Chordata;Mammalia;Carnivora;Otariidae;Zalophus;Zalophus californianus",1
"109","Eukaryota;Chordata;Mammalia;Rodentia;Cricetidae;Peromyscus;Peromyscus maniculatus",1
