Names	Sample	Transect	Time_Point	Hour	Replicate	Time	Tide	Direction	High/Low	Lab	Sample_or_Control	Date	Time_Label
BF2.24	BF3.B	Cove	T03	T24	B	24	0.24m	lowering	low	field	sample	7/25/16 7:00	 
BF3.24	BF3.C	Cove	T03	T24	C	24	0.24m	lowering	low	field	sample	7/25/16 7:00	 
BF4.24	BF3.D	Cove	T03	T24	D	24	0.24m	lowering	low	field	sample	7/25/16 7:00	 
BF5.24	BF3.E	Cove	T03	T24	E	24	0.24m	lowering	low	field	sample	7/25/16 7:00	 
BF1.48	BF4.A	Cove	T04	T48	A	48	0.48m	lowering	low	field	sample	7/26/16 7:00	T04
BF2.48	BF4.B	Cove	T04	T48	B	48	0.48m	lowering	low	field	sample	7/26/16 7:00	 
BF3.48	BF4.C	Cove	T04	T48	C	48	0.48m	lowering	low	field	sample	7/26/16 7:00	 
BF4.48	BF4.D	Cove	T04	T48	D	48	0.48m	lowering	low	field	sample	7/26/16 7:00	 
BF5.48	BF4.E	Cove	T04	T48	E	48	0.48m	lowering	low	field	sample	7/26/16 7:00	 
BF1.120x	BF5.A	Cove	T05	T120	A	120	1.07m	no change	high	field	sample	7/29/16 7:00	T05
BF2.120x	BF5.B	Cove	T05	T120	B	120	1.07m	no change	high	field	sample	7/29/16 7:00	 
BF3.120x	BF5.C	Cove	T05	T120	C	120	1.07m	no change	high	field	sample	7/29/16 7:00	 
BF4.120x	BF5.D	Cove	T05	T120	D	120	1.07m	no change	high	field	sample	7/29/16 7:00	 
BF5.120x	BF5.E	Cove	T05	T120	E	120	1.07m	no change	high	field	sample	7/29/16 7:00	 
IN1.00	FC0.A	Channel	T00	T00	A	0	0.08m	no change	low	field	sample	7/24/16 7:00	T00
IN2.00	FC0.B	Channel	T00	T00	B	0	0.08m	no change	low	field	sample	7/24/16 7:00	 
IN3.00	FC0.C	Channel	T00	T00	C	0	0.08m	no change	low	field	sample	7/24/16 7:00	 
IN4.00	FC0.D	Channel	T00	T00	D	0	0.08m	no change	low	field	sample	7/24/16 7:00	 
IN5.00	FC0.E	Channel	T00	T00	E	0	0.08m	no change	low	field	sample	7/24/16 7:00	 
IN1.06	FC1.A	Channel	T01	T06	A	6	1.40m	rising 	high	field	sample	7/24/16 13:00	T01
IN2.06	FC1.B	Channel	T01	T06	B	6	1.40m	rising 	high	field	sample	7/24/16 13:00	 
IN3.06	FC1.C	Channel	T01	T06	C	6	1.40m	rising 	high	field	sample	7/24/16 13:00	 
IN4.06	FC1.D	Channel	T01	T06	D	6	1.40m	rising 	high	field	sample	7/24/16 13:00	 
IN5.06	FC1.E	Channel	T01	T06	E	6	1.40m	rising 	high	field	sample	7/24/16 13:00	 
IN1.12	FC2.A	Channel	T02	T12	A	12	0.64m	lowering	low	field	sample	7/24/16 19:00	T02
IN2.12	FC2.B	Channel	T02	T12	B	12	0.64m	lowering	low	field	sample	7/24/16 19:00	 
IN3.12	FC2.C	Channel	T02	T12	C	12	0.64m	lowering	low	field	sample	7/24/16 19:00	 
IN4.12	FC2.D	Channel	T02	T12	D	12	0.64m	lowering	low	field	sample	7/24/16 19:00	 
IN5.12	FC2.E	Channel	T02	T12	E	12	0.64m	lowering	low	field	sample	7/24/16 19:00	 
IN1.24	FC3.A	Channel	T03	T24	A	24	0.24m	lowering	low	field	sample	7/25/16 7:00	T03
IN2.24	FC3.B	Channel	T03	T24	B	24	0.24m	lowering	low	field	sample	7/25/16 7:00	 
IN3.24	FC3.C	Channel	T03	T24	C	24	0.24m	lowering	low	field	sample	7/25/16 7:00	 
IN4.24	FC3.D	Channel	T03	T24	D	24	0.24m	lowering	low	field	sample	7/25/16 7:00	 
IN5.24	FC3.E	Channel	T03	T24	E	24	0.24m	lowering	low	field	sample	7/25/16 7:00	 
IN1.48	FC4.A	Channel	T04	T48	A	48	0.48m	lowering	low	field	sample	7/26/16 7:00	T04
IN2.48	FC4.B	Channel	T04	T48	B	48	0.48m	lowering	low	field	sample	7/26/16 7:00	 
IN3.48	FC4.C	Channel	T04	T48	C	48	0.48m	lowering	low	field	sample	7/26/16 7:00	 
IN4.48	FC4.D	Channel	T04	T48	D	48	0.48m	lowering	low	field	sample	7/26/16 7:00	 
IN5.48	FC4.E	Channel	T04	T48	E	48	0.48m	lowering	low	field	sample	7/26/16 7:00	 
IN2.120x	FC5.B	Channel	T05	T120	B	120	1.07m	no change	high	field	sample	7/29/16 7:00	T05
IN3.120x	FC5.C	Channel	T05	T120	C	120	1.07m	no change	high	field	sample	7/29/16 7:00	 
IN5.120x	FC5.E	Channel	T05	T120	E	120	1.07m	no change	high	field	sample	7/29/16 7:00	 
Cat.poscntl_1	Positive_Control2	NA	NA	NA	NA	NA	NA	NA	NA	lab	control	NA	NA
